user,rating,review,date,year,destination
Rossella D,4,The tip for all ages,Apr 2025 • Family,2025,Monkey Forest
Escape42508350609,1,The child attacked and bitten,Apr 2025 • Family,2025,Monkey Forest
AndySouthland_NZ,5,Amazing,Apr 2025 • Couples,2025,Monkey Forest
Marie R,5,Exursion ubud,Apr 2025 • Friends,2025,Monkey Forest
James E,4,Enjoyed the walk and the experience,Apr 2025 • Family,2025,Monkey Forest
Carmen L,5,"Very experienced, there are many bugs and they are beautiful, it was my turn to see that a bug gave birth 🥹😍",Apr 2025 • Couples,2025,Monkey Forest
Tamara G,5,This is a must do - on your Bali Holiday,Apr 2025 • Couples,2025,Monkey Forest
J82,4,A nice place but too crowded,Apr 2025 • Couples,2025,Monkey Forest
Soupheads,5,Monkeys!!,Apr 2025 • Couples,2025,Monkey Forest
Sara,3,Cute but nothing exciting,Mar 2025 • Couples,2025,Monkey Forest
Kerrie C,4,Monkey Surprise!,Apr 2025 • Friends,2025,Monkey Forest
highpointkate,5,Very well behaved monkeys!,Apr 2025 • Friends,2025,Monkey Forest
RobfromWL,4,Monkey business galore,Apr 2025 • Couples,2025,Monkey Forest
Nadeen Whitehead,4,Well organised & cute baby monkeys!,Apr 2025 • Couples,2025,Monkey Forest
matildadavis07,4,fun,Apr 2025 • Friends,2025,Monkey Forest
Francesco D,3,Nothing much,Aug 2024 • Friends,2024,Monkey Forest
Anu N,5,Monkeys are amazing!,Mar 2025 • Friends,2025,Monkey Forest
Hayley M,5,Great experience,Mar 2025 • Family,2025,Monkey Forest
Lorrae and Mark D,5,"Great experience, professionally run",Mar 2025 • Family,2025,Monkey Forest
Misha,5,Planet of the Apes),Mar 2025 • Solo,2025,Monkey Forest
C...,5,Macaques,Feb 2025 • Friends,2025,Monkey Forest
Jimbo,5,Must do while in UBUD,Mar 2025 • Couples,2025,Monkey Forest
Getaway04787894032,1,Not worth your attention.,Mar 2025 • Family,2025,Monkey Forest
swinstan,3,Disappointing,Mar 2025 • Couples,2025,Monkey Forest
The Adventure Buddies,5,The Adventure Buddies Visits The Sacred Monkey Forest in Ubud,Nov 2024 • Family,2024,Monkey Forest
2017Ravs4,5,Great place,Mar 2025 • Couples,2025,Monkey Forest
x_Sakura,4,Indispensable,Apr 2024 • Friends,2024,Monkey Forest
Yasti parwasih,4,Be careful with luggage.,Mar 2025 • Friends,2025,Monkey Forest
Lovisa W,3,Nice and fun but not amazing,Mar 2025 • Family,2025,Monkey Forest
Ubud Traveling,5,MONKEY FOREST UBUD,Feb 2025 • Family,2025,Monkey Forest
kuydul t,5,Stunning,Feb 2025 • Family,2025,Monkey Forest
GILLES ET SANDRINE,4,A moment of sharing with nature,Sep 2024 • Couples,2024,Monkey Forest
R. Huskens,5,Monkey paradise,Feb 2025 • Couples,2025,Monkey Forest
Mark F,4,Good for families and if you like monkeys outside of a cage,Jan 2025 • Couples,2025,Monkey Forest
David N,5,Enjoyable experience walking amidst the monkeys,Jan 2025 • Couples,2025,Monkey Forest
Tommy,4,Absolutly stunning to see this park with all those monkeys!!! Great nature!,Jan 2025 • Couples,2025,Monkey Forest
Soko37,5,Nature and spirit,Jan 2025 • Family,2025,Monkey Forest
Андрей Ш,1,Forest without monkeys)),Jan 2025 • Couples,2025,Monkey Forest
Monaro11,5,Bali Monkeys,Jan 2025 • Couples,2025,Monkey Forest
Charbumxo,5,Toddlers 2 & 3 to see the monkeys,Jan 2025 • Family,2025,Monkey Forest
Strond10a,5,Loved this place,Jan 2025 • Couples,2025,Monkey Forest
Lynne S,5,Great morning at the Monkey Forest,Dec 2024 • Family,2024,Monkey Forest
KieraTin603,5,So many monkeys and up close. Don’t miss it!,May 2024 • Friends,2024,Monkey Forest
Alovestravel,5,"Took excellent photos, are totally relaxed, and never had any issues.",Jan 2025 • Friends,2025,Monkey Forest
Jessi-leigh B,5,Such an experience each time I’ve visited (no 5),Nov 2024 • Family,2024,Monkey Forest
Alex H,4,Worth doing,Jan 2025 • Friends,2025,Monkey Forest
Jhodi G,4,Pretty cool. Would recommend,Jan 2025 • Couples,2025,Monkey Forest
Karl,1,Does not feel safe.,Jan 2025 • Couples,2025,Monkey Forest
Delphine M,5,Monkey,Jan 2025 • Couples,2025,Monkey Forest
Sarah Shareen,5,Suggestion,Jan 2025 • Family,2025,Monkey Forest
NataliaD D,5,I would give it 6 stars if I could!,Dec 2024 • Couples,2024,Monkey Forest
KMacca,5,Great experience with a funny moment...,Aug 2024 • Couples,2024,Monkey Forest
Hilal Arat,5,Visiting Monkey Natural Sites,Dec 2024 • Couples,2024,Monkey Forest
Minowe,4,Forest in the middle of the city,Oct 2024 • Couples,2024,Monkey Forest
Ethan Brooks,4,A Unique Experience at Sacred Monkey Forest Sanctuary,Dec 2024 • Friends,2024,Monkey Forest
Nancy J,5,Cute Monkeys,Dec 2024 • Couples,2024,Monkey Forest
Antonio D,2,Monkey business! tourist trap,Dec 2024 • Friends,2024,Monkey Forest
Kate,5,Just go to the Monkey Forest,Dec 2024 • Family,2024,Monkey Forest
STELLA08Auckland,5,3rd time visit - still love the Monkey Forest,Nov 2024 • Friends,2024,Monkey Forest
Florent Alix,5,What to do,Dec 2023 • Couples,2023,Monkey Forest
beachfun10,4,The monkeys are adorable and mischievous,Oct 2024 • Friends,2024,Monkey Forest
TravelDoorsOut,5,Very cool experience but beware,Feb 2024 • Family,2024,Monkey Forest
Tony W,5,Monkey Forest,Oct 2024 • Couples,2024,Monkey Forest
antelopeBucks,4,Cute monkeys but can get busy,Oct 2024 • Couples,2024,Monkey Forest
TN007,5,Enjoyable afternoon,Oct 2024 • Couples,2024,Monkey Forest
shivnis,5,monkeys in their habitat,Oct 2024 • Family,2024,Monkey Forest
Miri V,5,Monkeys and more monkeys,Jul 2024 • Couples,2024,Monkey Forest
Shanee,5,Lovely experience,Oct 2024 • Couples,2024,Monkey Forest
Annabelle G,5,Magic,Oct 2024 • Friends,2024,Monkey Forest
Q-Thy,4,Sympa,Oct 2024 • Couples,2024,Monkey Forest
Lets cruise,5,Absolutely worth it,Oct 2024 • Couples,2024,Monkey Forest
Frédérique B,5,A must see really. The monkeys are really happy and live in the wild. Everything is made for their wellness.,Oct 2024 • Couples,2024,Monkey Forest
Levke D,4,Enchanted quiet oasis in the middle of Ubud,Unknown date,Unknown,Monkey Forest
Erdun,5,Worth visiting,Oct 2024 • Couples,2024,Monkey Forest
Amit J,4,Decent place to spend a couple of hours,Jul 2024 • Couples,2024,Monkey Forest
Sarah,5,Coole Monkey Forest,Unknown date,Unknown,Monkey Forest
Barong private tour guide,5,The place is nice and cool,Nov 2023 • Solo,2023,Monkey Forest
Rasmus,5,Fun day activity,Jul 2024 • Couples,2024,Monkey Forest
kevin maede,5,It was great overall,Sep 2024 • Couples,2024,Monkey Forest
Cruiser13V,5,"If you're in the region, it's well worth checking out—walking around takes around an hour.",Sep 2024 • Family,2024,Monkey Forest
Daniela 🏝️,4,"Monkeys, monkeys & monkeys :)",Aug 2024 • Couples,2024,Monkey Forest
Pernille DA,4,Nice nature oasis - cute monkeys,Jul 2024 • Family,2024,Monkey Forest
Curious51765769375,1,Almost got rabies!!,Aug 2023 • Family,2023,Monkey Forest
jdpacko,5,Hey hey it’s the monkeys !!,Aug 2024 • Couples,2024,Monkey Forest
Darren,3,It's not worth going to.,Aug 2024 • Family,2024,Monkey Forest
Rodalita B,5,Sacred Monkey Forest Sanctuary,Aug 2024 • Family,2024,Monkey Forest
Denise M,5,Cool place / forest in the middle of Ubud,Aug 2024 • Couples,2024,Monkey Forest
Ay A,5,There are monkeys in this jungle! It was a really humorous encounter.,Aug 2024 • Family,2024,Monkey Forest
SimonKnechtli,5,Beautiful Monkey Forest,Aug 2024 • Couples,2024,Monkey Forest
Imstefizz,5,Attack on monkey,Aug 2024 • Couples,2024,Monkey Forest
Madison G,5,Awesome,Aug 2024 • Couples,2024,Monkey Forest
Nercika,5,Great experience,Aug 2024 • Couples,2024,Monkey Forest
Patrick S,5,Monkeys,Jul 2024 • Couples,2024,Monkey Forest
Franz B,4,Sympa,Aug 2024 • Family,2024,Monkey Forest
Aimee F,5,A close encounter!,Aug 2024 • Couples,2024,Monkey Forest
nellie1991,4,Nice sanctuary with monkeys,Aug 2024 • Couples,2024,Monkey Forest
Bethany S,5,Rudi Rocks,Jul 2024 • Couples,2024,Monkey Forest
Valerie D,4,A definite must see,Jul 2024 • Solo,2024,Monkey Forest
Renato,5,Awesome experience,Aug 2024 • Couples,2024,Monkey Forest
Miss marple,5,So glad we went.,Aug 2024 • Family,2024,Monkey Forest
Harsh & Leena,5,temple at the sea shore and is very beautiful,Jan 2025 • Family,2025,Tanah Lot
Sanka1 🇱🇰🇬🇧,5,Must go at sunset,May 2025 • Couples,2025,Tanah Lot
Xavierphoto,5,Incredible atmosphere!,May 2025 • Friends,2025,Tanah Lot
Jeroen_tje01,1,Terrible.,Apr 2025 • Family,2025,Tanah Lot
Marco M,4,Where the scarf of a wise man became snake and protection!,Apr 2025 • Couples,2025,Tanah Lot
James E,5,My favourite place in Bali,Apr 2025 • Family,2025,Tanah Lot
houndy11,3,Temple at the edge of the Sea,Mar 2025 • Family,2025,Tanah Lot
Spest,5,Another place I admired in Bali,Feb 2025 • Couples,2025,Tanah Lot
